"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409813","1.1.2.6","11044","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409814","1.1.3.1","52.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409815","1.1.3.2","51.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409816","1.1.3.3","54.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409817","1.1.3.4","16428","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409818","1.1.3.5","16050","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409819","1.1.3.6","16806","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409820","1.2.1.1","11.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409821","1.2.1.2","10.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409822","1.2.1.3","12.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409823","1.2.1.4","1733","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409824","1.2.1.5","1544","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409825","1.2.1.6","1923","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409826","1.2.2.1","31.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409827","1.2.2.2","29.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409828","1.2.2.3","33.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409829","1.2.2.4","4803","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409830","1.2.2.5","4529","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409831","1.2.2.6","5077","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409832","1.2.3.1","57.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409833","1.2.3.2","55.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409834","1.2.3.3","59.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409835","1.2.3.4","8848","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409836","1.2.3.5","8561","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409837","1.2.3.6","9134","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409838","1.3.1.1","14.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409839","1.3.1.2","13.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409840","1.3.1.3","16.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409841","1.3.1.4","2316","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409842","1.3.1.5","2122","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409843","1.3.1.6","2511","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409844","1.3.2.1","37.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409845","1.3.2.2","35.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409846","1.3.2.3","38.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409847","1.3.2.4","5862","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409848","1.3.2.5","5596","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409849","1.3.2.6","6129","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409850","1.3.3.1","48.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409851","1.3.3.2","46.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409852","1.3.3.3","49.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409853","1.3.3.4","7581","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409854","1.3.3.5","7315","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409855","1.3.3.6","7846","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409856","2.1.1.1","14.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409857","2.1.1.2","12.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409858","2.1.1.3","16.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409859","2.1.1.4","287","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409860","2.1.1.5","245","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409861","2.1.1.6","328","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409862","2.1.2.1","32.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409863","2.1.2.2","29.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409864","2.1.2.3","35.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409865","2.1.2.4","670","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409866","2.1.2.5","613","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409867","2.1.2.6","726","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409868","2.1.3.1","53.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409869","2.1.3.2","50.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409870","2.1.3.3","56.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409871","2.1.3.4","1097","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409872","2.1.3.5","1038","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409873","2.1.3.6","1155","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409874","2.2.1.1","10.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409875","2.2.1.2","8.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409876","2.2.1.3","13.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409877","2.2.1.4","109","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409878","2.2.1.5","82","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409879","2.2.1.6","135","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409880","2.2.2.1","28.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409881","2.2.2.2","24.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409882","2.2.2.3","32.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409883","2.2.2.4","286","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409884","2.2.2.5","245","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409885","2.2.2.6","327","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409886","2.2.3.1","60.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409887","2.2.3.2","56.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409888","2.2.3.3","65.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409889","2.2.3.4","609","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409890","2.2.3.5","566","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409891","2.2.3.6","653","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409892","2.3.1.1","17.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409893","2.3.1.2","14.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409894","2.3.1.3","20.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409895","2.3.1.4","178","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409896","2.3.1.5","146","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409897","2.3.1.6","210","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409898","2.3.2.1","36.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409899","2.3.2.2","33.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409900","2.3.2.3","40.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409901","2.3.2.4","384","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409902","2.3.2.5","345","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409903","2.3.2.6","422","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409904","2.3.3.1","46.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409905","2.3.3.2","42.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409906","2.3.3.3","50.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409907","2.3.3.4","487","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409908","2.3.3.5","447","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409909","2.3.3.6","527","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409910","3.1.1.1","11.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409911","3.1.1.2","8.2","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409912","3.1.1.3","15.9","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409913","3.1.1.4","51","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409914","3.1.1.5","35","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409915","3.1.1.6","68","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409916","3.1.2.1","29.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409917","3.1.2.2","23.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409918","3.1.2.3","35.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409919","3.1.2.4","129","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409920","3.1.2.5","103","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409921","3.1.2.6","156","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409922","3.1.3.1","59.0","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409923","3.1.3.2","52.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409924","3.1.3.3","65.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409925","3.1.3.4","261","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409926","3.1.3.5","233","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409927","3.1.3.6","288","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409928","3.2.1.1","8.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409929","3.2.1.2","4.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409930","3.2.1.3","15.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409931","3.2.1.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409932","3.2.1.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409933","3.2.1.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409934","3.2.2.1","20.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409935","3.2.2.2","11.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409936","3.2.2.3","31.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409937","3.2.2.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409938","3.2.2.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409939","3.2.2.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409940","3.2.3.1","71.4","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409941","3.2.3.2","59.9","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409942","3.2.3.3","81.2","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409943","3.2.3.4","153","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409944","3.2.3.5","131","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409945","3.2.3.6","175","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409946","3.3.1.1","14.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409947","3.3.1.2","9.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409948","3.3.1.3","20.8","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409949","3.3.1.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409950","3.3.1.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409951","3.3.1.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409952","3.3.2.1","38.0","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409953","3.3.2.2","30.8","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409954","3.3.2.3","45.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409955","3.3.2.4","86","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409956","3.3.2.5","70","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409957","3.3.2.6","103","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409958","3.3.3.1","47.4","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409959","3.3.3.2","40.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409960","3.3.3.3","54.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409961","3.3.3.4","108","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409962","3.3.3.5","92","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Rarely or never feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409963","3.3.3.6","124","","","","0"
